-2 0 4
-1.26928 0 4.68268

-1.9 0 3.61
-1.17655 0 4.30038

-1.8 0 3.24
-1.08461 0 3.93872

-1.7 0 2.89
-0.993563 0 3.59778

-1.6 0 2.56
-0.903578 0 3.27763

-1.5 0 2.25
-0.814835 0 2.97839

-1.4 0 1.96
-0.727564 0 2.70016

-1.3 0 1.69
-0.642047 0 2.44306

-1.2 0 1.44
-0.558635 0 2.20724

-1.1 0 1.21
-0.477768 0 1.99283

-1 0 1
-0.4 0 1.8

-0.9 0 0.81
-0.326027 0 1.62887

-0.8 0 0.64
-0.256719 0 1.47955

-0.7 0 0.49
-0.193151 0 1.35203

-0.6 0 0.36
-0.136613 0 1.24616

-0.5 0 0.25
-0.0885622 0 1.16144

-0.4 0 0.16
-0.0504622 0 1.09692

-0.3 0 0.09
-0.0234076 0 1.05099

-0.2 0 0.04
-0.00748258 0 1.02129

-0.1 0 0.01
-0.000982855 0 1.00509

0 0 0
nan nan nan

0.1 0 0.01
0.000982855 0 1.00509

0.2 0 0.04
0.00748258 0 1.02129

0.3 0 0.09
0.0234076 0 1.05099

0.4 0 0.16
0.0504622 0 1.09692

0.5 0 0.25
0.0885622 0 1.16144

0.6 0 0.36
0.136613 0 1.24616

0.7 0 0.49
0.193151 0 1.35203

0.8 0 0.64
0.256719 0 1.47955

0.9 0 0.81
0.326027 0 1.62887

1 0 1
0.4 0 1.8

1.1 0 1.21
0.477768 0 1.99283

1.2 0 1.44
0.558635 0 2.20724

1.3 0 1.69
0.642047 0 2.44306

1.4 0 1.96
0.727564 0 2.70016

1.5 0 2.25
0.814835 0 2.97839

1.6 0 2.56
0.903578 0 3.27763

1.7 0 2.89
0.993563 0 3.59778

1.8 0 3.24
1.08461 0 3.93872

1.9 0 3.61
1.17655 0 4.30038

2 0 4
1.26928 0 4.68268

